rand_point,fid,id1,velo,velostreif,veloweg,einbahn,fuss,name,map_velo,map_fuss,se_anno_ca,objectid,LENGTH,STRASS_ID,RICHTPLANT,STRADATNAM,UNTERHALT,EIGENTUM,STRASSTYP,UREG_TEXT,JAHR,SREG_TEXT,SHAPE_LEN,id1_2,kategorie,objectid_2,x,y
2128,,,,,,,,,,,,,119.180050410000007,433.000000000000000,23.000000000000000,"347",Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,01_11_2023,,119.180003145512003,,,,2685311.5372189730,1246104.6169874589
2135,,,,,,,,,,,,,193.700430399999988,4212.000000000000000,40.000000000000000,,Gemeinde,Gemeinde,Gemeindestrassen,,01_11_2023,,193.700499177235997,,,,2684612.6953209634,1245346.1179882898
2153,,,,,,,,,,,,,473.814825550000023,4217.000000000000000,40.000000000000000,,Gemeinde,Gemeinde,Gemeindestrassen,,01_11_2023,,473.814802375783017,,,,2684699.3490044968,1245752.2225180254
2161,,,,,,,,,,,,,220.203978449999994,4227.000000000000000,23.000000000000000,"347",Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,01_11_2023,,220.203942009549991,,,,2685546.1965298676,1245916.5692523939
2190,,,,,,,,,,,,,188.015545879999991,4483.000000000000000,23.000000000000000,"17",Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,01_11_2023,,188.015497251694995,,,,2683822.6220635367,1247941.9970192476
2201,,,,,,,,,,,,,153.597687699999994,4309.000000000000000,30.000000000000000,"30051",Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,01_11_2023,,153.597662331844987,,,,2685097.7337213731,1246629.3630303675
2206,,,,,,,,,,,,,973.982138729999974,4245.000000000000000,40.000000000000000,,Gemeinde,Gemeinde,Gemeindestrassen,,01_11_2023,,973.982079545414990,,,,2686397.7790360907,1245700.8802715130
2210,,,,,,,,,,,,,136.059179440000008,4268.000000000000000,40.000000000000000,,Gemeinde,Gemeinde,Gemeindestrassen,,01_11_2023,,136.059238329421987,,,,2685123.4573548255,1247772.3147945786
2233,,,,,,,,,,,,,16.908545300000000,4264.000000000000000,40.000000000000000,S-090,Stadt Zürich,Kanton,Gemeindestrassen,,01_11_2023,,16.908566835187401,,,,2685240.4058238403,1247871.8146361364
2293,,,,,,,,,,,,,,,,,,,,,,,,1836,Vorzugsroute,1376,2684188.6488329102,1246357.6171088098
2308,,,,,,,,,,,,,,,,,,,,,,,,1806,Vorzugsroute,1419,2683822.8673009383,1246396.3445437113
2312,,,,,,,,,,,,,,,,,,,,,,,,1819,Vorzugsroute,1432,2684003.7497096406,1246071.2712016848
2316,,,,,,,,,,,,,,,,,,,,,,,,1946,Vorzugsroute,1450,2684034.6298142103,1246015.4992520392
2369,,,,,,,,,,,,,,,,,,,,,,,,2349,Basisnetz,1457,2686360.3371347841,1245168.8217453028
2400,,,,,,,,,,,,,,,,,,,,,,,,2407,Basisnetz,2159,2687504.1158358594,1245570.3792496657
2405,,,,,,,,,,,,,,,,,,,,,,,,2512,Basisnetz,2164,2686671.0245842808,1247616.6309094827
2443,,,,,,,,,,,,,,,,,,,,,,,,1491,Vorzugsroute,604,2684086.7333098096,1247613.7637650301
2449,,,,,,,,,,,,,,,,,,,,,,,,1406,Hauptnetz,662,2684275.6174220569,1248156.2273169344
2457,,,,,,,,,,,,,,,,,,,,,,,,1441,Vorzugsroute,818,2684312.0333800507,1248309.5868532455
2475,,,,,,,,,,,,,,,,,,,,,,,,1609,Basisnetz,1436,2684085.0734143248,1247522.3720838034
2482,,,,,,,,,,,,,,,,,,,,,,,,1662,Vorzugsroute,1503,2684301.1633115485,1247245.5087687660
2485,,,,,,,,,,,,,,,,,,,,,,,,1666,Vorzugsroute,1520,2684387.4460173133,1247134.6779557969
2501,,,,,,,,,,,,,,,,,,,,,,,,1777,Basisnetz,1573,2683972.5001389072,1246971.8947301384
2504,,,,,,,,,,,,,,,,,,,,,,,,1566,Vorzugsroute,1593,2684340.6546032806,1247923.3079287715
2529,,,,,,,,,,,,,,,,,,,,,,,,1401,Vorzugsroute,696,2684582.7353959982,1248238.0182986623
2556,,,,,,,,,,,,,,,,,,,,,,,,1550,Hauptnetz,1381,2684495.7294349014,1247953.0883762927
2589,,,,,,,,,,,,,,,,,,,,,,,,1771,Basisnetz,1567,2684551.4438612713,1247210.6623222977
2614,,,,,,,,,,,,,,,,,,,,,,,,1785,Basisnetz,1808,2684765.7585258177,1246958.6192976299
2616,,,,,,,,,,,,,,,,,,,,,,,,2478,Basisnetz,1988,2685414.5867266981,1247041.6942020974
2624,,,,,,,,,,,,,,,,,,,,,,,,2497,Basisnetz,2076,2685845.7485477524,1247449.9542103154
2627,,,,,,,,,,,,,,,,,,,,,,,,2480,Basisnetz,2080,2685336.9311257889,1247287.0684101318
2643,,,,,,,,,,,,,,,,,,,,,,,,2518,Hauptnetz,2181,2685614.3066767361,1248387.3800830399
2657,,,,,,,,,,,,,,,,,,,,,,,,1404,Vorzugsroute,456,2684424.6828101603,1248362.5682256157
2658,,,,,,,,,,,,,,,,,,,,,,,,1639,Basisnetz,1625,2684437.4270080347,1247191.3342160389
2683,,,,,,,,,,,,,,,,,,,,,,,,1383,Basisnetz,472,2684293.1099209227,1249052.8321052445
2708,,,,,,,,,,,,,,,,,,,,,,,,1449,Basisnetz,762,2684491.3456195891,1248622.2466184224
2714,,,,,,,,,,,,,,,,,,,,,,,,2555,Basisnetz,1989,2684807.3662461843,1248690.3004503851
